tstamp,buffers,pct_buffer,added,removed,recycled,write,sync,total,synced,longest,average
2014-06-27T03:17:15.366Z,21504,1.4,0,0,0,8.298,2.225,10.544,247,0.174,0.009
2014-06-27T03:17:15.408Z,3,0.0,0,0,52,0.022,0.006,0.038,2,0.003,0.003
2014-06-27T03:26:49.720Z,222690,14.2,0,0,2,269.562,1.671,271.276,319,0.183,0.005
2014-06-27T03:31:49.433Z,84058,5.3,0,0,16,269.262,1.390,270.683,353,0.135,0.003
2014-06-27T03:36:49.002Z,43337,2.8,0,0,36,269.596,0.921,270.538,324,0.022,0.002
2014-06-27T03:41:50.263Z,58740,3.7,0,0,36,270.005,1.202,271.230,321,0.068,0.003
2014-06-27T03:45:49.047Z,47205,3.0,0,0,41,208.640,1.094,209.756,332,0.133,0.003
2014-06-27T03:51:51.006Z,299068,19.0,0,0,47,269.921,1.936,271.890,333,0.195,0.005
2014-06-27T03:56:49.872Z,37869,2.4,0,7,60,269.961,0.844,270.847,315,0.033,0.002
2014-06-27T04:01:49.920Z,48936,3.1,0,11,18,269.134,0.832,270.017,345,0.130,0.002
2014-06-27T04:06:50.188Z,45208,2.9,0,1,20,269.095,1.117,270.237,331,0.136,0.003
2014-06-27T04:11:24.010Z,42884,2.7,0,3,16,243.720,1.049,244.792,311,0.119,0.003
2014-06-27T04:16:49.271Z,41504,2.6,0,0,19,268.977,1.207,270.208,320,0.118,0.003
2014-06-27T04:21:50.131Z,47346,3.0,0,0,19,269.693,1.112,270.831,337,0.087,0.003
2014-06-27T04:26:50.070Z,45725,2.9,0,0,20,269.887,0.996,270.909,304,0.059,0.003
2014-06-27T04:31:49.983Z,43715,2.8,0,0,19,269.978,0.886,270.884,308,0.029,0.002
2014-06-27T04:36:50.929Z,39429,2.5,0,0,20,270.035,0.864,270.918,318,0.069,0.002
2014-06-27T04:41:51.412Z,57591,3.7,0,0,17,269.039,1.380,270.452,331,0.051,0.004
2014-06-27T04:46:10.839Z,37761,2.4,0,0,25,229.262,1.108,230.397,316,0.095,0.003
2014-06-27T04:51:51.067Z,70829,4.5,0,0,17,269.091,1.047,270.157,321,0.034,0.003
2014-06-27T04:56:50.956Z,46047,2.9,0,0,30,269.975,0.863,270.861,337,0.089,0.002
2014-06-27T05:01:50.941Z,39962,2.5,0,1,20,269.044,0.892,269.954,292,0.056,0.003
2014-06-27T05:06:50.925Z,38555,2.5,0,0,18,269.029,0.880,269.953,353,0.038,0.002
2014-06-27T05:11:50.940Z,46341,2.9,0,1,16,269.057,0.896,269.985,298,0.038,0.003
2014-06-27T05:16:50.888Z,41201,2.6,0,0,17,269.074,0.818,269.917,294,0.055,0.002
2014-06-27T05:21:51.040Z,48536,3.1,0,0,17,269.095,0.998,270.125,326,0.039,0.003
2014-06-27T05:26:47.125Z,43110,2.7,0,0,24,266.059,0.969,267.055,308,0.141,0.003
2014-06-27T05:31:51.322Z,51982,3.3,0,0,18,269.817,1.354,271.192,304,0.624,0.004
2014-06-27T05:36:50.851Z,42630,2.7,0,0,21,269.576,0.885,270.499,308,0.220,0.002
2014-06-27T05:41:33.244Z,48813,3.1,0,0,22,250.955,1.384,252.364,319,0.059,0.004
2014-06-27T05:46:22.759Z,50513,3.2,0,0,23,241.476,0.971,242.468,320,0.176,0.003
2014-06-27T05:51:51.637Z,86132,5.5,0,0,25,269.204,1.581,270.817,378,0.207,0.004
2014-06-27T05:56:51.020Z,51699,3.3,0,0,38,269.304,1.008,270.356,333,0.095,0.003
2014-06-27T06:01:51.073Z,53712,3.4,0,0,23,269.997,1.006,271.025,303,0.132,0.003
2014-06-27T06:06:50.943Z,50521,3.2,0,0,23,269.802,1.017,270.844,330,0.082,0.003
2014-06-27T06:11:31.620Z,52726,3.4,0,0,21,249.765,0.855,250.648,310,0.092,0.002
2014-06-27T06:16:51.225Z,55302,3.5,0,0,22,269.325,1.206,270.555,351,0.094,0.003
2014-06-27T06:21:51.094Z,61973,3.9,0,0,27,269.641,1.181,270.842,314,0.101,0.003
2014-06-27T06:26:51.201Z,64405,4.1,0,0,35,269.761,1.291,271.079,330,0.135,0.003
